Stage	Objection	Solution 1	Solution 2	Solution 3	Solution 4	Solution 5	Solution 6	Solution 7	Solution 8
Stage 1 KO STRANKA RAZISKUJE	Looks like a cruise liner	Visually re-size the experience - “Scale Slider” widget – drag to compare Goolets yacht (10 suites) vs. 3 000-cabins cruise ship. / Place above the fold on all vessel pages; auto-plays for mobile scrollers after 40 % viewport	Own the narrative - “Private Charter” Shield on every hero image / Include group-icon + text “Only your 8–30 guests on board”	Unpack differences - Yacht vs. Cruise Comparison Table (crew ratio, itinerary freedom, berth fees, privacy, environmental footprint) / Gate downloadable PDF with e-mail; brokers auto-send after first call.	Show intimacy - Cabin-count + Crew-ratio Overlay on gallery photos / Render as subtle watermark so it appears on every social share.				
Stage 1 KO STRANKA RAZISKUJE	When can I go?	Surface dates instantly - Live “Next-Open Week” Banner on every yacht page / Pull data from booking engine; auto-update daily; red highlight when >3 weeks remain.	Clarify seasons - Interactive Route-by-Season Map (“Where’s perfect in…?”) / Colour-code High / Shoulder / Low; hover shows temp, sea state, crowd level; cite sources.	Offer decision aid - 60-sec “When Should I Go?” Quiz / Questions: group type, preferred temp, crowd tolerance → outputs 3 ideal weeks + yacht matches.	Educational videos - Explainer based on experience until now, when is the best time, Tips to secure the best deal (how upfront should I book)	Blog posts - When to visit Croatia, Italy, the Caribbean..	Promote shoulder value - “Smart Shoulder” Badges on route pages (Highlights May/June &amp; Sept/Oct benefits (warm seas, lower rates, fewer crowds). / Add price-per-person overlay (“Save up to 20 % in September”).	Show booking lead time - Dynamic “Availability Meter” (text: “Peak July slots book 12 months ahead”) / Data snippets drawn from historical Goolets bookings + industry stats.	
Stage 1 KO STRANKA RAZISKUJE	Our brand name "Goolets"	Clarify instantly: Add a tagline like “Goolets – Bringing Yachting to a Wider Audience/Yachting closer withing reach/,etc., everywhere the name appears.							
Stage 1 KO STRANKA RAZISKUJE		Establish credibility quickly: Use strong social proof above the fold — &quot;Over 20 years in luxury yachting, 2,000+ successful voyages, 98% satisfaction.&quot;							
Stage 1 KO STRANKA RAZISKUJE		Showcase media features (if applicable): “As seen in Forbes / Business Insider” etc., builds instant legitimacy.							
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	What does Smart Yachting mean?	Pain Point: The term is unclear. People may assume it’s a gimmick, tech-focused, or just marketing fluff. Solution: Define it clearly and simply: Smart Yachting = curated, cost-efficient luxury yacht experiences that feel like superyacht charters – without the superyacht price tag. Core message pillars: - Optimized vessels – Handpicked gulets, mini cruisers, and motor yachts that offer 80–90% of a superyacht experience at 30–50% the cost. - Streamlined booking – We do the hard work for you. Fast matching, concierge service, and no endless back-and-forth. - Curated local itineraries – Insider access to the best of Croatia and Turkey: hidden bays, trusted crews, and unique experiences. Add contrast with traditional chartering: Unlike traditional yacht charters where you pay a premium for brand names and inflated broker fees, Smart Yachting is about value, personalization, and local expertise. Make it tangible with real examples: “A family of 10 booked a 7-day Croatia itinerary with a Smart Yacht for €25K — the same experience on a traditional charter would’ve cost €40K+. Same Adriatic views. Same luxury. Smarter choice.”							
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Why are your Smart Yacht Charters only in Croatia and Turkey?	Reframe it as a strategic focus, not a limitation: “We specialize in Croatia and Turkey because these are the two best-value luxury yacht destinations in the world. Our deep local relationships let us offer better vessels, pricing, and service than anyone else.”	Show the advantage of local expertise: “Instead of stretching globally and sacrificing quality, we go deep - hand- picking every vessel, crew, and custom design each itinerary to deliver the best yachting experience possible.”	Plant future expansion subtly (if true): “Smart Yacht Charters are expanding soon to other destinations - but we’re starting where we can guarantee unmatched quality and value.”	Comparison-based trust builder: “Most global yacht providers dabble in Croatia and Turkey. We dominate here “Most global yacht providers dabble in Croatia and Turkey. We dominate here - and that’s why our clients get better value.”				
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	The booking process feels too complicated and unclear	Pain Point: I’m not sure what happens after I fill this out – it feels unclear and maybe too much hassle” 1. Clearly Explain the Booking Process Upfront Add a simple headline or section before the form: “How it Works”  Step 1: Tell us your group size, dates &amp; preferences  Step 2: Our yacht expert sends you 3 curated options (within 24h)  Step 3: You confirm, and we handle the rest  Key phrase: “No commitment. No spam. Just personalized help.” 2. Set Expectations Visually Add a 3-step graphic or icons right above or next to the inquiry form — to instantly reduce friction. People feel better when they know what’s coming. 3. Reframe the Form as a Time-Saver “Don’t waste hours browsing 100+ yachts — our experts will send you the 3 best options for your trip.” This switches the form from a task to a benefit. 4. Add Trust Signals Near the Form - “Over 2,000 trips arranged since 2005” - “Local experts in Croatia &amp; Turkey” - “100% custom itinerary planning included” - Client reviews or 5-star rating from Google/Trustpilot 5. Optional: Add a “See Example” Button Let people preview a real or mock charter proposal sent to a past client — builds clarity and desire. “See what you’ll receive after submitting the form”							
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Is it a yacht or a sailing boat?	Education with clarity: Quick explainer like “Yachts vs. Gulets vs. Sailing Motor Yachts” with pictures.	Use categories on the site: “Motor Yachts,” “Luxury Gulets,” “Modern Sailing Yachts” — clearly segmented.	Interactive filters: Help them self-select by group size, experience level, or vessel type.					
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	I already have a broker/booking agent at a different company	Comparison pitch: “Already working with someone? Here’s why savvy clients explore Goolets too.”	- More selection in Croatia/Turkey	- Transparent pricing	- Exclusive smart yacht fleet	Incentive to compare: “Send us your current quote — we’ll beat or match it, with better service/yacht,etc...”	Position as an addition, not replacement: “You don’t need to cancel — just compare.”		
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Because our charters are cheaper, they think it's too good to be TRUE	Reframe the pricing: “Luxury made efficient — Smart Yachts cut waste, not experience.”	- Show real examples: “Here’s what $25K gets you with Goolets vs. the market average.”	- Testimonials that speak to this: Clients who also thought it was “too good to be true” — until they sailed.	- Offer guarantees: “Verified vessels. Guaranteed standards. Risk-free inquiry.” 				
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	There are a lot of vessels in our fleet	Curated recommendations: “Tell us your group size and budget – we’ll shortlist your perfect 3 yachts.”	Top-rated / featured categories: “Best for Families,” “Luxury on a Budget,” “Most Booked in 2024.”	Use AI-driven or concierge selection: Make people feel personally matched, not just browsing.	- Exit-intent popups with trust builders: “97% of clients say they&#39;d book with Goolets again – see why.”	- Mini video case studies: Real travelers talking about their experience (esp. skeptical ones).	- Live chat with a real expert, not a bot: Reduce friction and build trust immediately.		
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	AI nas ne najde, priljubljenost spljek	AI-optimizirana struktura vsebine (AIO): Prilagodimo vsebine na spletni strani tako, da jih AI lažje razume in predlaga – uporabljamo FAQ format, strukturirane odgovore in schema markup.	Vsebina, ki odgovarja na AI vprašanja: Ustvarjamo članke, ki ciljajo na vprašanja, ki jih uporabniki postavljajo AI-jem (npr. »Best yacht charters in Croatia«), in v njih pozicioniramo Goolets kot idealno izbiro.	Zgradimo prisotnost na virih, ki jih AI črpa: Aktivno gradimo prisotnost Goolets na spletnih straneh z visokim zaupanjem (Forbes, Medium, Reddit, Boat International ipd.), ki jih AI pogosto navaja.	Eksperimentiranje s plačljivimi AI viri: Raziščemo možnost promoviranja Goolets znotraj AI iskalnikov, ki omogočajo sponzorirane ali priporočene odgovore (npr. Perplexity, You.com).	Spremljanje AI izpisov in prilagajanje vsebin: Redno preverjamo, kako AI odgovarja na ključna vprašanja glede yacht charterja, in nato temu prilagajamo content strategijo, da nas začne vključevati v rezultate.			
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Too expensive	Pojasnimo razliko v vrednosti, ne samo v ceni	Dodamo konkretne primere primerjave (Value Breakdown)	Uporabimo primerjave iz preteklih gostov	Dodamo občutek ekskluzivnosti in omejene razpoložljivosti	Nudimo prilagoditve glede na proračun (če smiselno)			
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Vsi ponujajo isto	Poudarimo, da je jahta le 50 % izkušnje – druga polovica je broker in posadka	"Jahto lahko res najde več ponudnikov, ampak razlika je v tem, kako bo potekala izkušnja. Mi osebno poznamo kapitana, kuharja, njihove prednosti, kako delujejo z otroki, s skupinami, z VIP-ji... To je ključno."	Pokažemo naše edinstvene notranje informacije in dostop Goolets ima dostop do internih informacij, ki jih drugi nimajo: - Vemo, katere jahte imajo najbolj fleksibilne pogoje - Katera posadka se je menjala - Kdo ima najboljšo hrano - Kdo je letos dobil slabe ocene (in zakaj)	To pomeni, da stranki ne damo samo jahte, ampak pravo izkušnjo brez tveganja.	Uporabimo pristop "concierge vs posrednik" “Večina brokerjev samo posreduje jahto. Mi delujemo kot concierge – vodimo vas skozi celoten proces – od izbire idealne jahte, prilagoditev menijev, itinerarja, transporta, posebnih zahtev, celo do izbire vina ali organizacije rojstnega dne. To ni enako.”	Dodamo družbeni dokaz (social proof) “Večina naših gostov nam pove isto stvar – da so mislili, da vsi ponujajo isto… dokler niso doživeli razlike z Goolets. 80 % naših strank se vrne ali nas priporoči naprej.”	Izpostavimo ekskluzivne jahte ali dostop “Ta jahta je na voljo samo pri nas / imamo z njo ekskluzivno partnerstvo. Drugi vam jo lahko pokažejo, a ne morejo garantirati izkušnje ali termina.”	
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Uporabniška izkušnja	Načrtujemo izboljšave in testiranja UX z uporabniki (nova spletna stran)	Non stop testiranje razne pod strani in preverit kakšna je UX in UI tam 	Redno optimizirat spletna stran za mobile in hitrost					
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Strah pred nepoznavanjem yachtinga	Izobraževalne vsebine, ki poenostavijo kompleksnost yachtinga	Personalizirano svetovanje in podpora: Naši charter svetovalci so na voljo za vse vprašanja, tudi najbolj osnovna – od izbire jahte, do poti, do kaj pričakovati na krovu. Tako se stranka počuti varno in podprto.	Interaktivni kvizi in orodja za izbiro jahte: Na spletni strani imamo kviz ‘Katera jachta je prava zate?’ ali ‘Izberi svojo pot’, ki s preprostimi vprašanji vodi uporabnika do najbolj primerne ponudbe.	Pristop ‘trip architects’, ne samo brokerjev: Poudarimo, da smo tukaj, da oblikujemo celoten dopust, ne samo prodajamo plovilo. Pomagamo od prvega koraka, da je stranka sproščena in samozavestna pri odločitvah.	Deljenje resničnih zgodb in izkušenj: Objavljamo video izjave in case study-je zadovoljnih strank, ki so bili začetniki, a so z nami odkrili vse čare yachtinga brez skrbi.			
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Sea sickness	Izobraževalni materiali o destinacije (hrvaška ima 1200 otokov vedno se najda bolj mirna voda in skoraj nikoli nimamo odprta morja)	Izorbraževanje o yachting na splošno, kaj počneš, kaj lahko doživiš na jahto, kak dolgo imamo cruising vsak dan...	Prelagojena ruta in program	Ponudimo primerne jahte z primerne posadke				
Stage 1 KO STRANKA RAZISKUJE									
Stage 1 KO STRANKA RAZISKUJE	Varnost destinacije (Hrvaška)	Highlight: Croatia is in EU, safe waters, stable government, English-speaking crews.	Hrvaška je tudi statistično ena najbolj varnih držav						
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	A sem res dobil all inclusive / all exclusive?	Yes, everything is clearly outlined with no hidden costs. Each yacht has mandatory extras, which vary depending on the type of yacht.	Some yachts, especially gulets and a few motor yachts, use fixed packages for food, drinks, and port fees. Others, particularly luxury motor yachts, usually operate under APA (Advance Provisioning Allowance) and VAT added on top of the charter price.	The only optional cost is the crew gratuity, which is entirely based on your satisfaction and typically ranges from 5% to 15% of the charter fee.	I’m happy to break down everything for you and calculate the total estimated cost so there are no surprises.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Crew/guest ratio	We only work with yachts that provide a high level of service. Typically, you’ll have 1 crew member for every 2 to 4 guests or even better. This ensures an exceptional level of personalized attention.	The crew is highly experienced, especially the captains, who are responsible for hand-picking and training their teams. Most of these yachts have been operating for several years and, over time, have optimized their crew size to ensure the perfect balance between service and efficiency.	The crew is always available when you need them, but otherwise remains discreet, either in their quarters or handling their duties, giving you the ideal mix of attentive service and complete privacy throughout your charter.					
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Fleksibilnost pri datumu, tukaj sem naredil da so flexilibli in da niso 	We are flexible with dates: That’s great to hear. flexibility gives us more room to find the best yachts and potentially better deals. I can suggest 2–3 alternatives that might offer even more value or availability.	Vprašanje če so flexiblini: That said, flexibility is becoming increasingly limited, especially for larger-capacity yachts, which often get booked a year or two in advance. If you have specific dates in mind, I strongly recommend securing them early otherwise, options can disappear quickly.	If you're flexible, that’s a real advantage, but let’s narrow it down to the months that work best for you, so we can act quickly once the right opportunity appears.					
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Invalid / starejši	Thank you for sharing that. Guest safety and comfort are always our top priorities. We only suggest yachts that are well-suited for your needs, including: - Main deck cabins (no stairs) - Wider corridors - Support handles in key areas - Additional assistance from the crew, if required	We regularly host older guests on board, and the crew is always attentive. Helping with stairs, carrying luggage, and ensuring everyone feels safe and supported. The yachts we recommend are fully air-conditioned and offer plenty of shaded areas to relax comfortably throughout the day.	If there is a guest with reduced mobility or requiring a wheelchair, we would need a few more details to make sure we find the right yacht. While the crew is more than happy to assist, some yachts have narrow gangways (passarelles) or limited water access, which may require additional planning or support on our side.	Please feel free to share any specific needs or preferences and we’ll find the perfect match for your group.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Komplicirana ponudba	You’re not alone. Charter offers can feel overwhelming at first, and that’s exactly why we’re here.	Let’s go step by step. The offer is tailored to your specific requirements: the type of yacht, dates, destination, and other key details. Pricing depends on the season and structure (some include extras, others operate on APA).	I’d be happy to prepare a clear, all-inclusive breakdown if that makes things easier. I can also send you a simple one-page summary with what's included, pricing, and itinerary, something you can review in just a few minutes.	And if you'd prefer, we can also schedule a quick call to walk through everything together.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Letališča	That depends on your route, but generally speaking:	Split, Dubrovnik, Athens, Bodrum, Olbia, and Palma are the most common arrival points for our charters. We can also arrange private transfers or VIP terminal services to make your arrival seamless.	For example, in Croatia, most guests fly into either Split or Dubrovnik Airport, depending on the itinerary. Both have excellent international connections and are located close to the main embarkation ports.	Similarly, in Turkey, flights typically connect through Istanbul, with onward travel to either Bodrum-Milas Airport (for the Bodrum region) or Dalaman Airport (for Marmaris, Gocek, and Fethiye).	Once you land, our team can assist with organizing smooth transfers directly to your yacht or hotel, so your holiday starts stress-free.			
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Ne prejmemo ponudbe	I’m sorry to hear that! Sometimes emails land in the spam or promotions folder, so I’d recommend checking there just in case.	Your offer has already been prepared based on the details you provided. Yacht type, destination, dates, and number of guests. I’d be happy to resend it right away, either by email, WhatsApp, or as a simple PDF summary.	If you prefer, we can also schedule a quick call, and I’ll walk you through everything. Pricing, inclusions, and my personal recommendations. Would today or tomorrow work better for you?					
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Nismo še imeli jaht	That’s perfect. Your first charter is going to be unforgettable. As many of our clients say: “Once you try it, there’s no going back.”	We’ll pair you with an experienced crew, design an easy-going itinerary, and choose a yacht that’s perfect for first-time guests.	Want a better idea of what to expect? I can send you a short video that shows what a typical day on board looks like, from morning swims to sunset dinners.	Many of our clients are deciding between a villa and a yacht. The answer becomes clear once they imagine this: crystal-clear waters, hidden bays, a new destination every day, gourmet meals prepared on board, and a crew that takes care of absolutely everything.	Sounds like a dream? We’re here to make it your reality.			
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Odlašanje odločitve	That’s totally fair. This isn’t a small decision, and it’s important to feel confident about it.	That said, I do want to mention that top yachts for 2026, especially in June through August are booking out quickly, often more than a year in advance. Once a slot is gone, it’s usually very hard to get it back.	To give you time and peace of mind, I can place a 24–48 hour hold on your preferred yacht. There’s absolutely no obligation, but it protects the option while you finalize your plans.	In the meantime, may I ask is there anything specific holding you back? I’d be happy to help you move forward:	I can send over extra photos or walkthrough videos of each yacht	I can highlight the differences between the options you’re considering	Or we can simply schedule a short call today, if that makes things easier	And if pricing is part of the hesitation, I completely understand. While you’re deciding, I’ll speak directly with the owner to explore a possible discount. I’m confident I can negotiate better conditions for you.
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Prehitra prodaja	Understood. The pace is driven by demand. Top yachts can go in 48h.	We can hold a spot so you’re not under pressure but don’t lose it either.	Best to reserve now, decide later.	Or you can let me know when does it work for you to connect and secure the best vacation ever?				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Prepočasna prodaja (almost impossible at Goolets) 	We can fast-track everything. Contract, food preferences, payment, all in 24h. Please let me know if you are missing anything, so we can move forward.	Let’s go step by step today, if you’re ready.						
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Res ste tako poceni?	No, we’re not cheap. We’re affordable, and that’s an important distinction. What we offer is high-value yachting, and in many ways, it’s a revolution in the world of superyacht charters.	Our yachts are designed to make the superyacht experience accessible to larger groups without compromising on luxury, service, or comfort. Here’s how we make it possible:	Many of our yachts have 10 to 18 cabins, making them ideal for bigger groups. Families, friends, or even corporate retreats. When you divide the cost among more people, the per-person price becomes significantly more reasonable.	These yachts are built in Croatia, where construction and maintenance costs are lower than in Western Europe. That reduction is passed on to you. Not by cutting corners, but by being smart with value.	Despite the more affordable pricing, the experience remains truly world-class: - Professional and attentive crew - Stunning itineraries through hidden bays and historic towns - Gourmet food - Jet skis, sea bobs, paddleboards, and countless water toys - Spacious decks, lounges, jacuzzis, and even cinemas on board in some cases	So no, we’re not cheap, we’re just breaking the idea that superyacht charters are only for billionaires.	Would you like me to show you an example of the cost breakdown per person for one of these yachts? It might surprise you. Iin a good way.	
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Reviews	Absolutely. We have a large collection of guest feedback. Written reviews, video testimonials, and verified ratings on platforms like Trustpilot, Trip Advisor and Google.	I’d be happy to share feedback from guests who booked the same yacht, or from groups similar to yours. Many of our clients leave personal messages in the guestbooks on board, and we also receive plenty of private messages after their trips. While some guests prefer to remain anonymous, they often share honest and detailed impressions, which I can forward to you.	If you’d prefer something more direct, I can even connect you with a few of our past clients who are open to sharing their experience.	We organize over 400 charters every year, and as the largest charter company in Croatia, we’ve gathered a wealth of genuine feedback. So. whatever you’re looking for, I’m confident I can provide it.	Just let me know what kind of reference would be most helpful for you.			
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Ste predragi	Let’s make sure we’re comparing the right way. If you have another offer in mind, feel free to share it. I’ll gladly walk you through the price difference. More often than not, the gap comes down to things like the age of the yacht, crew experience, onboard equipment, and service level. And in yachting, quality really does make a difference.	That said, if you compare our yachts in Croatia, especially those with larger capacity, to similar yachts elsewhere in the world, you’ll find they are actually incredibly affordable. Nowhere else can you charter a 10+ cabin yacht with this level of service, comfort, and modern design for such a price.	Even our 6-cabin yachts, which are ideal for families or smaller groups, offer exceptional value. Many of them are nearly brand new and come with top-tier amenities. Yet are still priced far more competitively than similar yachts in the Med or Caribbean.	Pricing is always based on demand, quality, and the specifications of each yacht. And just to give you a sense of how strong that demand is I can send you the booking calendar, which is already nearly full. I think that speaks for itself.	Let me know what you’re comparing us to, and I’ll gladly help you evaluate it objectively, because we want you to get the best experience for your investment.			
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
